sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_name
4.64,3.34,1.33,0.29,setosa
5.19,3.76,1.56,0.31,setosa
5.24,3.74,1.48,0.28,setosa
5.57,3.80,1.21,0.37,setosa
5.14,3.56,1.38,0.34,setosa
5.48,3.87,1.59,0.18,setosa
5.69,3.86,1.49,0.17,setosa
5.01,3.27,1.47,0.17,setosa
4.36,2.85,1.36,0.24,setosa
4.77,3.20,1.32,0.16,setosa
5.35,3.58,1.53,0.18,setosa
4.64,3.36,1.43,0.15,setosa
5.05,3.60,1.52,0.20,setosa
5.31,4.21,1.78,0.34,setosa
4.91,3.19,1.69,0.25,setosa
4.72,3.38,1.46,0.31,setosa
4.77,3.33,1.46,0.39,setosa
5.24,4.01,1.79,0.41,setosa
4.66,3.09,1.31,0.23,setosa
5.70,4.05,1.16,0.32,setosa
4.23,3.24,1.19,0.14,setosa
4.70,3.15,1.29,0.28,setosa
4.85,3.66,1.85,0.26,setosa
4.83,3.73,1.38,0.28,setosa
5.67,3.52,1.39,0.23,setosa
5.02,3.70,1.62,0.34,setosa
4.72,3.49,1.42,0.21,setosa
5.87,4.55,1.56,0.42,setosa
4.84,3.65,1.51,0.21,setosa
5.18,4.05,1.65,0.28,setosa
5.37,3.29,1.60,0.28,setosa
5.54,4.18,1.59,0.29,setosa
5.22,3.32,1.71,0.29,setosa
4.49,3.03,1.29,0.20,setosa
4.64,3.93,1.28,0.34,setosa
5.52,4.16,1.36,0.31,setosa
4.68,3.25,1.26,0.25,setosa
4.48,3.30,1.43,0.23,setosa
5.36,3.29,1.43,0.17,setosa
5.24,4.05,1.47,0.23,setosa
4.72,3.59,1.44,0.07,setosa
5.24,3.29,1.68,0.22,setosa
4.51,3.12,1.12,0.10,setosa
5.31,3.73,1.38,0.31,setosa
4.62,3.51,1.66,0.27,setosa
5.60,3.92,1.70,0.26,setosa
5.20,3.40,1.69,0.32,setosa
4.64,3.27,1.29,0.38,setosa
4.56,3.11,1.32,0.12,setosa
4.80,3.03,1.38,0.25,setosa
4.75,3.04,1.47,0.29,setosa
5.18,3.26,1.61,0.27,setosa
5.32,3.66,1.52,0.21,setosa
5.58,3.85,1.66,0.39,setosa
5.36,3.79,1.90,0.47,setosa
5.00,3.80,1.64,0.31,setosa
5.12,3.54,1.72,0.31,setosa
5.12,3.88,1.38,0.32,setosa
5.42,4.06,1.55,0.31,setosa
5.89,3.96,1.74,0.35,setosa
5.23,3.76,1.63,0.22,setosa
5.02,3.58,1.36,0.25,setosa
4.70,3.30,1.73,0.22,setosa
4.82,3.18,1.41,0.22,setosa
5.34,4.02,1.77,0.50,setosa
5.03,3.35,1.39,0.37,setosa
4.98,3.75,1.59,0.30,setosa
4.68,3.38,1.47,0.20,setosa
5.39,3.50,1.53,0.25,setosa
4.72,3.37,2.02,0.15,setosa
5.17,3.32,1.43,0.19,setosa
4.74,3.16,1.42,0.29,setosa
5.46,3.63,1.76,0.44,setosa
5.13,2.99,1.62,0.23,setosa
4.87,3.68,1.65,0.30,setosa
5.68,3.67,1.86,0.28,setosa
4.23,3.32,1.39,0.21,setosa
5.28,3.35,1.40,0.18,setosa
4.66,3.06,1.34,0.20,setosa
5.40,4.10,1.52,0.31,setosa
4.70,3.03,1.53,0.12,setosa
5.25,3.12,1.26,0.17,setosa
4.98,3.37,1.60,0.24,setosa
4.86,3.30,1.39,0.24,setosa
5.05,3.87,1.55,0.21,setosa
4.80,3.13,1.50,0.20,setosa
5.15,3.65,1.51,0.39,setosa
4.39,2.34,1.33,0.25,setosa
5.07,3.54,1.54,0.17,setosa
5.17,3.98,1.43,0.43,setosa
4.25,3.36,1.27,0.27,setosa
5.18,3.68,1.43,0.23,setosa
5.33,3.59,1.43,0.24,setosa
4.97,3.22,1.66,0.27,setosa
4.43,2.92,1.20,0.14,setosa
5.16,2.99,1.56,0.23,setosa
5.64,4.38,1.65,0.44,setosa
5.39,3.27,1.48,0.17,setosa
4.83,3.01,1.56,0.22,setosa
4.73,3.49,1.92,0.27,setosa
5.11,3.68,1.78,0.42,setosa
4.77,3.29,1.23,0.17,setosa
5.02,3.30,1.65,0.32,setosa
5.21,3.77,1.51,0.24,setosa
5.50,3.74,1.29,0.22,setosa
5.35,3.99,1.45,0.38,setosa
4.84,3.53,2.02,0.17,setosa
5.29,3.91,1.70,0.17,setosa
4.87,3.40,1.67,0.17,setosa
4.96,3.75,1.47,0.34,setosa
5.38,3.53,1.56,0.28,setosa
6.12,3.98,1.25,0.30,setosa
5.20,3.44,1.76,0.27,setosa
5.07,3.61,1.35,0.20,setosa
4.57,2.96,1.16,0.17,setosa
5.20,3.05,1.57,0.22,setosa
5.28,3.64,1.49,0.25,setosa
5.29,3.93,1.54,0.18,setosa
5.11,3.44,1.55,0.11,setosa
5.83,3.45,1.41,0.34,setosa
5.21,3.46,1.79,0.50,setosa
4.54,3.32,1.53,0.18,setosa
4.25,3.54,1.33,0.18,setosa
4.65,3.56,1.75,0.25,setosa
4.94,3.74,1.49,0.20,setosa
5.44,4.50,1.38,0.20,setosa
5.08,3.22,1.57,0.14,setosa
5.39,3.63,1.54,0.23,setosa
5.17,3.58,1.59,0.28,setosa
4.52,3.12,1.53,0.35,setosa
4.45,2.89,1.34,0.16,setosa
5.14,3.30,1.36,0.29,setosa
5.35,3.43,1.37,0.15,setosa
4.95,3.73,1.49,0.32,setosa
5.08,3.41,1.52,0.28,setosa
5.23,3.73,1.73,0.28,setosa
5.15,4.05,1.53,0.32,setosa
5.09,3.69,1.42,0.27,setosa
5.43,3.63,1.36,0.39,setosa
4.87,3.35,1.49,0.22,setosa
4.63,3.28,1.68,0.16,setosa
4.54,3.12,1.14,0.14,setosa
5.27,4.05,1.66,0.47,setosa
5.57,3.95,1.64,0.20,setosa
4.58,3.26,1.38,0.17,setosa
5.41,3.39,1.32,0.21,setosa
5.05,3.65,1.42,0.10,setosa
5.28,3.80,1.68,0.19,setosa
5.37,3.70,1.51,0.42,setosa
4.68,3.47,1.51,0.19,setosa
5.30,3.33,1.63,0.22,setosa
5.05,3.74,1.62,0.24,setosa
5.20,3.41,1.78,0.45,setosa
5.12,3.76,1.42,0.28,setosa
5.05,3.40,1.49,0.20,setosa
4.45,3.11,1.19,0.18,setosa
5.09,3.91,1.53,0.48,setosa
5.15,3.16,1.33,0.32,setosa
5.51,4.31,1.44,0.33,setosa
4.58,3.32,1.31,0.21,setosa
4.91,3.27,1.48,0.28,setosa
4.96,3.38,1.50,0.23,setosa
5.33,3.82,1.61,0.28,setosa
5.10,3.21,1.71,0.16,setosa
5.86,4.08,1.51,0.16,setosa
4.96,3.58,1.45,0.27,setosa
5.32,3.72,1.63,0.23,setosa
5.42,3.70,1.44,0.24,setosa
5.07,3.46,1.59,0.24,setosa
5.29,3.75,1.57,0.29,setosa
4.61,3.03,1.42,0.14,setosa
4.58,3.48,1.49,0.23,setosa
4.28,3.13,1.52,0.22,setosa
5.17,3.28,1.54,0.19,setosa
5.37,3.89,1.49,0.49,setosa
5.07,3.50,1.55,0.21,setosa
4.44,3.03,1.24,0.22,setosa
5.41,3.96,1.59,0.30,setosa
4.83,3.36,1.51,0.06,setosa
5.34,3.83,1.55,0.29,setosa
4.82,3.09,1.40,0.30,setosa
5.78,3.57,1.57,0.29,setosa
4.72,3.36,1.39,0.05,setosa
4.70,3.35,1.28,0.16,setosa
5.09,3.23,1.67,0.24,setosa
5.20,2.98,1.55,0.13,setosa
5.12,3.87,1.95,0.53,setosa
4.93,3.88,1.63,0.28,setosa
4.74,3.69,1.13,0.32,setosa
5.00,3.36,1.80,0.21,setosa
4.98,3.47,1.43,0.22,setosa
4.58,3.33,1.53,0.20,setosa
5.02,3.46,1.49,0.24,setosa
5.16,3.73,1.46,0.28,setosa
5.03,2.98,1.38,0.17,setosa
4.99,3.65,1.40,0.25,setosa
5.22,3.34,1.54,0.22,setosa
5.16,3.98,1.85,0.49,setosa
5.44,4.04,1.59,0.11,setosa
5.20,4.01,1.63,0.31,setosa
5.24,3.72,1.53,0.24,setosa
5.34,3.43,1.53,0.35,setosa
4.94,3.53,1.41,0.29,setosa
5.78,3.95,1.27,0.19,setosa
5.12,3.66,1.45,0.24,setosa
5.84,4.01,1.59,0.26,setosa
5.15,3.71,1.67,0.26,setosa
4.62,3.41,1.55,0.22,setosa
5.98,4.06,1.32,0.19,setosa
4.57,3.05,1.32,0.23,setosa
4.47,2.93,1.43,0.28,setosa
5.17,3.35,1.61,0.26,setosa
4.59,2.95,1.28,0.16,setosa
5.47,4.36,1.44,0.28,setosa
5.49,3.74,1.53,0.46,setosa
5.29,2.90,1.67,0.28,setosa
4.82,3.21,1.32,0.18,setosa
5.45,3.73,1.50,0.43,setosa
5.37,3.88,1.52,0.38,setosa
4.61,3.62,1.20,0.24,setosa
5.08,3.60,1.38,0.28,setosa
4.99,3.20,1.48,0.22,setosa
4.99,3.63,1.67,0.46,setosa
5.45,3.70,1.40,0.23,setosa
5.31,3.36,1.84,0.27,setosa
4.82,3.06,1.46,0.26,setosa
4.94,3.44,1.46,0.25,setosa
4.95,3.31,1.52,0.25,setosa
5.28,3.63,1.49,0.37,setosa
4.67,3.29,1.60,0.32,setosa
4.14,2.93,1.27,0.17,setosa
5.23,4.34,1.59,0.06,setosa
5.25,3.69,1.50,0.57,setosa
5.23,3.28,1.47,0.16,setosa
4.94,3.09,1.51,0.26,setosa
5.92,3.92,1.73,0.30,setosa
5.63,3.70,1.50,0.31,setosa
4.80,3.64,1.58,0.35,setosa
5.07,3.54,1.42,0.22,setosa
5.38,3.39,1.35,0.25,setosa
5.35,3.63,1.58,0.19,setosa
5.26,3.37,1.43,0.20,setosa
4.50,3.25,1.36,0.28,setosa
4.60,3.46,1.50,0.23,setosa
4.42,3.16,1.23,0.21,setosa
5.03,3.27,1.35,0.25,setosa
5.68,3.58,1.35,0.26,setosa
5.27,3.82,1.52,0.19,setosa
5.19,3.88,1.52,0.08,setosa
5.71,3.38,1.78,0.31,setosa
5.17,3.49,1.38,0.23,setosa
5.17,3.57,1.44,0.26,setosa
5.34,3.86,1.76,0.22,setosa
5.59,3.70,1.58,0.25,setosa
4.90,3.72,1.42,0.26,setosa
5.35,3.71,1.43,0.35,setosa
4.42,3.06,1.09,0.17,setosa
5.06,2.90,1.45,0.20,setosa
5.12,4.01,1.44,0.19,setosa
4.34,2.83,1.32,0.25,setosa
4.83,3.31,1.46,0.27,setosa
5.39,3.43,1.34,0.24,setosa
5.79,4.23,1.64,0.42,setosa
4.59,3.38,1.46,0.25,setosa
4.64,3.29,1.31,0.17,setosa
5.18,3.91,1.54,0.17,setosa
4.81,3.45,1.47,0.18,setosa
4.93,3.38,1.58,0.24,setosa
5.40,4.26,1.55,0.32,setosa
4.93,2.85,1.61,0.14,setosa
4.30,2.93,1.02,0.13,setosa
5.62,3.91,1.83,0.46,setosa
5.42,3.88,1.52,0.46,setosa
5.27,3.80,1.46,0.18,setosa
5.18,3.10,1.50,0.15,setosa
5.14,3.57,1.67,0.15,setosa
5.22,4.22,1.87,0.37,setosa
4.53,2.98,1.20,0.13,setosa
5.58,3.98,1.51,0.26,setosa
4.38,3.36,1.25,0.21,setosa
5.25,3.32,1.43,0.35,setosa
4.89,3.56,1.28,0.23,setosa
4.66,3.60,1.51,0.24,setosa
4.43,3.33,1.47,0.26,setosa
5.37,3.46,1.58,0.27,setosa
5.52,3.76,1.40,0.20,setosa
4.87,2.95,1.53,0.36,setosa
5.20,3.38,1.53,0.31,setosa
5.23,3.34,1.54,0.34,setosa
5.09,3.71,1.80,0.21,setosa
4.95,3.50,1.24,0.37,setosa
4.83,3.12,1.65,0.16,setosa
4.99,3.52,1.23,0.23,setosa
4.94,3.20,1.46,0.27,setosa
5.53,3.56,1.55,0.34,setosa
4.97,3.17,1.60,0.24,setosa
5.61,4.24,1.56,0.47,setosa
5.45,4.10,1.78,0.35,setosa
5.62,4.11,1.58,0.13,setosa
4.82,3.60,1.49,0.23,setosa
5.24,4.09,1.57,0.36,setosa
5.61,4.57,1.52,0.43,setosa
5.32,3.90,1.44,0.37,setosa
5.41,3.90,1.53,0.33,setosa
4.35,3.00,1.31,0.16,setosa
5.34,3.76,1.57,0.25,setosa
5.19,3.03,1.59,0.25,setosa
5.34,3.74,1.83,0.35,setosa
4.40,3.55,1.24,0.19,setosa
5.52,3.46,1.34,0.28,setosa
4.55,3.68,1.18,0.27,setosa
5.29,3.76,1.45,0.31,setosa
4.78,3.39,1.45,0.29,setosa
5.15,3.61,1.73,0.64,setosa
4.96,3.03,1.35,0.08,setosa
5.40,3.90,1.42,0.26,setosa
5.23,3.38,1.62,0.27,setosa
5.06,3.31,1.61,0.18,setosa
4.87,3.15,1.52,0.32,setosa
4.92,3.39,1.59,0.28,setosa
5.51,4.13,1.18,0.26,setosa
4.52,3.18,1.32,0.13,setosa
4.35,2.98,1.31,0.15,setosa
5.02,3.46,1.42,0.26,setosa
4.65,3.33,1.57,0.29,setosa
5.32,3.79,1.94,0.49,setosa
4.24,3.39,1.42,0.15,setosa
5.29,3.72,1.65,0.20,setosa
5.46,3.80,1.44,0.17,setosa
5.34,3.61,1.51,0.36,setosa
4.49,3.14,1.28,0.11,setosa
4.92,3.79,1.70,0.65,setosa
4.98,3.89,1.44,0.17,setosa
5.17,3.59,1.32,0.27,setosa
5.36,3.69,1.64,0.21,setosa
5.01,3.33,1.59,0.28,setosa
5.20,3.28,1.63,0.13,setosa
5.15,3.63,1.81,0.19,setosa
5.05,4.13,1.50,0.38,setosa
5.07,3.57,1.44,0.25,setosa
5.44,3.78,1.69,0.31,setosa
5.25,3.21,1.67,0.26,setosa
4.87,3.40,1.70,0.12,setosa
5.50,4.07,1.41,0.19,setosa
5.49,3.74,1.24,0.24,setosa
5.18,4.41,1.67,0.19,setosa
4.66,3.03,1.51,0.29,setosa
4.50,3.64,1.65,0.29,setosa
5.25,3.58,1.36,0.23,setosa
5.35,3.76,1.61,0.26,setosa
5.24,3.40,1.53,0.32,setosa
4.84,3.60,1.41,0.31,setosa
5.26,4.11,1.58,0.31,setosa
4.98,3.67,1.61,0.30,setosa
5.81,4.10,1.42,0.32,setosa
5.38,3.48,1.55,0.27,setosa
4.93,3.36,1.57,0.43,setosa
4.71,3.06,1.51,0.20,setosa
5.46,3.28,1.61,0.43,setosa
5.08,3.10,1.64,0.21,setosa
5.58,3.55,1.60,0.25,setosa
4.95,3.37,1.40,0.26,setosa
5.05,3.34,1.81,0.58,setosa
5.39,3.46,1.36,0.29,setosa
5.31,3.37,1.23,0.17,setosa
4.87,3.42,1.71,0.29,setosa
5.18,3.88,1.45,0.35,setosa
5.00,3.11,1.69,0.27,setosa
5.83,4.00,1.54,0.29,setosa
5.00,2.98,1.53,0.29,setosa
5.71,3.47,1.32,0.30,setosa
5.04,3.41,1.67,0.27,setosa
4.62,3.35,1.46,0.17,setosa
4.68,3.46,1.39,0.27,setosa
5.40,4.11,1.53,0.43,setosa
5.08,3.68,1.42,0.32,setosa
5.26,3.89,1.54,0.28,setosa
5.04,3.44,1.54,0.10,setosa
5.18,3.42,1.52,0.19,setosa
5.74,3.91,1.37,0.36,setosa
5.00,3.71,1.54,0.22,setosa
5.39,3.93,1.30,0.38,setosa
5.02,3.56,1.48,0.25,setosa
5.11,3.56,1.41,0.17,setosa
4.69,3.01,1.39,0.26,setosa
4.58,3.38,1.58,0.25,setosa
5.55,3.89,1.62,0.21,setosa
5.41,3.72,1.37,0.27,setosa
6.00,3.87,1.68,0.25,setosa
4.96,2.99,1.54,0.11,setosa
5.04,2.99,1.36,0.35,setosa
5.00,2.96,1.44,0.18,setosa
5.04,3.50,1.50,0.15,setosa
5.13,3.30,1.64,0.22,setosa
5.02,3.86,1.53,0.20,setosa
5.79,4.35,1.52,0.24,setosa
5.11,3.52,1.37,0.26,setosa
5.32,3.58,1.57,0.25,setosa
5.58,4.01,1.86,0.34,setosa
5.11,3.71,1.95,0.22,setosa
5.20,3.61,1.63,0.34,setosa
4.66,2.91,1.25,0.19,setosa
5.45,3.70,1.61,0.29,setosa
5.74,3.88,1.39,0.36,setosa
5.05,3.50,1.56,0.25,setosa
5.05,3.77,1.51,0.26,setosa
4.43,3.27,1.34,0.23,setosa
5.45,3.71,1.52,0.28,setosa
5.12,3.77,1.52,0.16,setosa
5.09,3.59,1.42,0.18,setosa
4.78,3.10,1.53,0.30,setosa
4.56,3.22,1.07,0.15,setosa
4.98,3.21,1.28,0.34,setosa
5.17,3.14,1.42,0.21,setosa
5.10,3.50,1.74,0.40,setosa
5.63,3.79,1.37,0.24,setosa
5.35,3.78,1.70,0.30,setosa
5.60,4.02,1.26,0.26,setosa
4.92,2.93,1.54,0.30,setosa
4.68,3.47,1.40,0.23,setosa
4.79,3.24,1.52,0.29,setosa
5.24,4.08,1.66,0.20,setosa
4.66,3.46,1.61,0.14,setosa
5.55,3.65,1.46,0.23,setosa
5.45,3.74,1.50,0.24,setosa
4.86,3.23,1.40,0.19,setosa
4.96,3.64,1.65,0.31,setosa
7.02,3.24,4.77,1.47,versicolor
6.48,3.25,4.56,1.51,versicolor
6.91,3.17,4.97,1.54,versicolor
5.52,2.36,4.09,1.36,versicolor
6.53,2.84,4.66,1.53,versicolor
5.78,2.84,4.55,1.37,versicolor
6.36,3.31,4.79,1.63,versicolor
4.94,2.46,3.36,1.04,versicolor
6.63,2.93,4.69,1.36,versicolor
5.28,2.73,3.97,1.42,versicolor
5.04,2.05,3.59,1.03,versicolor
5.92,3.06,4.26,1.54,versicolor
6.02,2.21,4.04,1.04,versicolor
6.15,2.98,4.71,1.45,versicolor
5.67,2.94,3.66,1.33,versicolor
6.78,3.19,4.43,1.46,versicolor
5.66,3.05,4.58,1.53,versicolor
5.87,2.73,4.17,1.06,versicolor
6.27,2.22,4.54,1.52,versicolor
5.68,2.54,3.93,1.11,versicolor
5.95,3.22,4.85,1.88,versicolor
6.17,2.86,4.01,1.37,versicolor
6.37,2.56,4.92,1.53,versicolor
6.13,2.84,4.75,1.28,versicolor
6.46,2.97,4.33,1.31,versicolor
6.64,3.02,4.48,1.48,versicolor
6.86,2.85,4.86,1.48,versicolor
6.73,3.09,5.08,1.74,versicolor
6.09,2.96,4.53,1.55,versicolor
5.75,2.67,3.58,1.03,versicolor
5.55,2.45,3.89,1.15,versicolor
5.57,2.44,3.72,1.05,versicolor
5.82,2.77,3.98,1.27,versicolor
6.07,2.77,5.18,1.64,versicolor
5.48,3.05,4.57,1.54,versicolor
6.09,3.43,4.52,1.65,versicolor
6.75,3.16,4.78,1.51,versicolor
6.39,2.37,4.44,1.33,versicolor
5.63,3.02,4.16,1.36,versicolor
5.59,2.57,4.04,1.31,versicolor
5.59,2.61,4.47,1.28,versicolor
6.16,3.07,4.67,1.45,versicolor
5.87,2.62,4.06,1.27,versicolor
5.06,2.36,3.34,1.05,versicolor
5.65,2.77,4.29,1.31,versicolor
5.72,3.07,4.26,1.27,versicolor
5.72,2.94,4.27,1.34,versicolor
6.28,2.95,4.35,1.34,versicolor
5.12,2.56,3.06,1.12,versicolor
5.75,2.84,4.19,1.32,versicolor
5.80,3.10,4.50,1.28,versicolor
5.59,2.52,3.87,1.10,versicolor
5.78,2.47,4.33,1.33,versicolor
5.89,2.82,4.08,1.25,versicolor
7.01,3.01,4.53,1.51,versicolor
6.65,3.18,4.33,1.34,versicolor
6.11,3.04,4.38,1.48,versicolor
5.37,2.58,4.37,1.14,versicolor
6.66,2.08,4.74,1.49,versicolor
6.63,2.75,4.67,1.37,versicolor
5.53,2.84,3.95,1.38,versicolor
6.86,3.34,4.89,1.56,versicolor
5.82,3.05,4.03,1.26,versicolor
6.86,3.12,4.65,1.35,versicolor
5.63,3.08,4.04,1.22,versicolor
6.28,3.60,4.38,1.51,versicolor
5.88,2.51,4.33,1.23,versicolor
6.56,3.22,4.84,1.33,versicolor
6.02,2.91,4.34,1.47,versicolor
5.73,3.09,4.72,1.59,versicolor
5.84,2.84,4.42,1.04,versicolor
6.64,3.23,4.34,1.37,versicolor
6.31,2.56,3.87,1.25,versicolor
6.44,3.10,4.80,1.41,versicolor
6.56,2.52,4.58,1.25,versicolor
6.70,3.23,4.78,1.46,versicolor
6.40,3.00,4.41,1.52,versicolor
6.00,3.07,3.94,1.27,versicolor
6.39,3.32,4.65,1.48,versicolor
5.44,2.91,4.29,1.54,versicolor
6.16,2.44,4.77,1.29,versicolor
6.54,3.30,4.46,1.57,versicolor
6.48,3.52,4.96,1.62,versicolor
6.13,3.25,4.90,1.42,versicolor
5.34,2.73,4.21,1.28,versicolor
6.37,3.20,4.38,1.43,versicolor
6.60,3.18,5.10,1.63,versicolor
6.00,3.12,4.36,1.47,versicolor
5.42,2.99,4.43,1.37,versicolor
5.36,2.96,4.46,1.35,versicolor
5.43,2.77,4.38,1.32,versicolor
5.97,3.44,4.89,1.42,versicolor
6.42,2.71,5.07,1.28,versicolor
5.74,2.87,4.52,1.56,versicolor
5.90,3.06,4.44,1.21,versicolor
6.44,3.15,4.54,1.54,versicolor
6.15,2.68,5.15,1.51,versicolor
5.47,2.77,4.10,1.37,versicolor
6.51,2.72,5.13,1.55,versicolor
5.66,2.54,3.78,1.19,versicolor
5.88,2.75,4.28,1.05,versicolor
6.21,3.09,4.23,1.37,versicolor
6.03,2.97,4.69,1.59,versicolor
6.00,2.62,5.03,1.22,versicolor
5.64,2.81,3.81,1.26,versicolor
5.59,2.45,3.85,1.00,versicolor
6.55,3.20,4.54,1.68,versicolor
6.87,2.90,4.45,1.54,versicolor
6.44,3.13,4.45,1.65,versicolor
5.55,2.62,4.33,1.18,versicolor
5.75,2.55,3.66,1.01,versicolor
6.08,2.97,3.79,1.37,versicolor
5.79,2.91,4.41,1.23,versicolor
5.67,2.48,4.23,1.18,versicolor
5.71,2.78,3.43,1.13,versicolor
6.28,2.85,4.54,1.51,versicolor
5.49,3.28,3.87,1.22,versicolor
6.31,3.48,4.94,1.63,versicolor
6.65,3.20,4.47,1.63,versicolor
5.49,2.46,2.92,1.16,versicolor
6.43,3.33,4.46,1.69,versicolor
6.15,2.41,3.87,1.32,versicolor
6.90,3.15,5.16,1.56,versicolor
5.70,3.16,4.90,1.75,versicolor
6.13,3.15,4.89,1.46,versicolor
6.40,2.90,4.71,1.29,versicolor
5.02,2.37,3.63,0.99,versicolor
5.54,2.49,4.26,1.09,versicolor
7.05,2.89,4.57,1.46,versicolor
5.50,2.73,4.04,1.33,versicolor
6.42,2.91,4.48,1.36,versicolor
5.62,2.91,4.73,1.69,versicolor
5.70,2.87,3.90,1.44,versicolor
6.11,2.85,4.40,1.13,versicolor
6.67,2.49,4.99,1.65,versicolor
6.12,2.92,4.43,1.24,versicolor
5.95,3.14,5.06,1.36,versicolor
5.88,2.82,3.94,1.01,versicolor
5.49,2.66,4.12,1.12,versicolor
7.19,3.13,5.02,1.69,versicolor
5.28,2.82,3.95,1.25,versicolor
5.70,2.45,4.39,1.43,versicolor
5.79,2.91,4.97,1.64,versicolor
5.68,2.77,3.91,1.30,versicolor
5.41,2.31,3.62,1.07,versicolor
7.12,2.96,5.38,1.57,versicolor
5.68,2.89,4.25,1.34,versicolor
6.39,3.16,4.73,1.45,versicolor
6.53,3.33,4.77,1.42,versicolor
6.22,2.59,4.90,1.49,versicolor
5.57,2.66,4.01,1.34,versicolor
5.55,2.45,3.48,0.99,versicolor
6.64,2.36,4.49,1.43,versicolor
5.63,2.51,3.97,1.23,versicolor
7.00,2.87,4.72,1.38,versicolor
5.41,2.78,3.82,1.09,versicolor
5.17,2.80,4.21,1.27,versicolor
5.53,2.64,4.38,1.50,versicolor
6.15,3.29,3.99,1.45,versicolor
5.72,2.87,3.92,1.29,versicolor
7.10,3.12,4.94,1.46,versicolor
6.82,3.42,4.69,1.62,versicolor
5.97,3.23,4.95,1.88,versicolor
6.09,3.27,4.64,1.27,versicolor
6.20,2.56,3.71,0.99,versicolor
5.41,2.10,3.59,1.05,versicolor
5.25,2.58,3.37,1.05,versicolor
6.98,3.22,4.69,1.63,versicolor
5.95,2.35,4.75,1.66,versicolor
7.06,3.04,4.24,1.32,versicolor
5.97,2.97,4.11,1.48,versicolor
7.02,3.11,4.33,1.57,versicolor
6.03,2.92,4.35,1.23,versicolor
5.55,2.29,4.36,1.41,versicolor
6.66,3.33,5.31,1.47,versicolor
5.06,2.48,3.33,1.14,versicolor
6.45,2.32,4.39,1.50,versicolor
5.83,2.26,3.63,1.32,versicolor
6.68,3.26,4.64,1.44,versicolor
6.43,2.73,4.79,1.60,versicolor
5.83,3.47,4.90,1.60,versicolor
6.02,2.81,4.75,1.41,versicolor
5.05,2.44,3.40,0.92,versicolor
5.78,2.89,4.04,1.22,versicolor
6.70,3.19,4.95,1.46,versicolor
6.54,3.03,4.85,1.36,versicolor
6.65,3.01,4.84,1.31,versicolor
